Date Time, Monitor ID, Location ID, O3(ppm)
13 dic 2019 12:46,1,1,0,019
13 dic 2019 12:47,1,1,0,018
13 dic 2019 12:48,1,1,0,018
13 dic 2019 12:49,1,1,0,018
13 dic 2019 12:50,1,1,0,017
13 dic 2019 12:51,1,1,0,018
13 dic 2019 12:52,1,1,0,041
13 dic 2019 12:53,1,1,0,065
13 dic 2019 12:54,1,1,0,076
13 dic 2019 12:55,1,1,0,081
13 dic 2019 12:56,1,1,0,086
13 dic 2019 12:57,1,1,0,089
13 dic 2019 12:58,1,1,0,091
13 dic 2019 12:59,1,1,0,092
13 dic 2019 13:00,1,1,0,094
13 dic 2019 13:01,1,1,0,095
13 dic 2019 13:02,1,1,0,055
13 dic 2019 13:03,1,1,0,033
13 dic 2019 13:04,1,1,0,025
13 dic 2019 13:05,1,1,0,021
13 dic 2019 13:06,1,1,0,020
13 dic 2019 13:07,1,1,0,020
13 dic 2019 13:08,1,1,0,019
13 dic 2019 13:09,1,1,0,018
13 dic 2019 13:10,1,1,0,018
13 dic 2019 13:11,1,1,0,017
13 dic 2019 13:12,1,1,0,018
13 dic 2019 13:13,1,1,0,016
13 dic 2019 13:14,1,1,0,017
13 dic 2019 13:15,1,1,0,018
13 dic 2019 13:16,1,1,0,018
13 dic 2019 13:17,1,1,0,017
13 dic 2019 13:18,1,1,0,017
13 dic 2019 13:19,1,1,0,018
13 dic 2019 13:20,1,1,0,018
13 dic 2019 13:21,1,1,0,017
13 dic 2019 13:22,1,1,0,050
13 dic 2019 13:23,1,1,0,065
13 dic 2019 13:24,1,1,0,074
13 dic 2019 13:25,1,1,0,080
13 dic 2019 13:26,1,1,0,083
13 dic 2019 13:27,1,1,0,088
13 dic 2019 13:28,1,1,0,089
13 dic 2019 13:29,1,1,0,091
13 dic 2019 13:30,1,1,0,092
13 dic 2019 13:31,1,1,0,080
13 dic 2019 13:32,1,1,0,042
13 dic 2019 13:33,1,1,0,028
13 dic 2019 13:34,1,1,0,023
13 dic 2019 13:35,1,1,0,021
13 dic 2019 13:36,1,1,0,019
13 dic 2019 13:37,1,1,0,018
13 dic 2019 13:38,1,1,0,018
13 dic 2019 13:39,1,1,0,018
13 dic 2019 13:40,1,1,0,017
13 dic 2019 13:41,1,1,0,017
13 dic 2019 13:42,1,1,0,043
13 dic 2019 13:43,1,1,0,066
13 dic 2019 13:44,1,1,0,077
13 dic 2019 13:45,1,1,0,084
13 dic 2019 13:46,1,1,0,089
13 dic 2019 13:47,1,1,0,091
13 dic 2019 13:48,1,1,0,092
13 dic 2019 13:49,1,1,0,094
13 dic 2019 13:50,1,1,0,094
13 dic 2019 13:51,1,1,0,096
13 dic 2019 13:52,1,1,0,055
13 dic 2019 13:53,1,1,0,033
13 dic 2019 13:54,1,1,0,025
13 dic 2019 13:55,1,1,0,021
13 dic 2019 13:56,1,1,0,019
13 dic 2019 13:57,1,1,0,020
13 dic 2019 13:58,1,1,0,020
13 dic 2019 13:59,1,1,0,018
13 dic 2019 14:00,1,1,0,018
13 dic 2019 14:01,1,1,0,018
13 dic 2019 14:02,1,1,0,018
13 dic 2019 14:03,1,1,0,018
13 dic 2019 14:04,1,1,0,017
13 dic 2019 14:05,1,1,0,018
13 dic 2019 14:06,1,1,0,017
13 dic 2019 14:07,1,1,0,017
13 dic 2019 14:08,1,1,0,017
13 dic 2019 14:09,1,1,0,017
13 dic 2019 14:10,1,1,0,018
13 dic 2019 14:11,1,1,0,017
13 dic 2019 14:12,1,1,0,018
13 dic 2019 14:13,1,1,0,052
13 dic 2019 14:14,1,1,0,077
13 dic 2019 14:15,1,1,0,084
13 dic 2019 14:16,1,1,0,088
13 dic 2019 14:17,1,1,0,091
13 dic 2019 14:18,1,1,0,092
13 dic 2019 14:19,1,1,0,094
